,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
0,BTRST-USD,BTRST,USD,0.17,83000,0.001,0.01,BTRST/USD,1,220000,False,False,0.03000000,False,False,False,False,online,,False
1,APE-USD,APE,USD,0.05,63000,0.001,0.01,APE/USD,1,250000,False,False,0.03000000,False,False,False,False,online,,False
2,ALGO-BTC,ALGO,BTC,1,600000,1E-8,1,ALGO/BTC,0.000016,19,False,False,0.03000000,False,False,False,False,online,,False
3,LQTY-USD,LQTY,USD,0.1,42000,0.01,0.01,LQTY/USD,1,230000,False,False,0.03000000,False,False,False,False,online,,False
4,CGLD-GBP,CGLD,GBP,0.16,65000,0.001,0.01,CGLD/GBP,0.72,220000,False,False,0.03000000,False,False,False,False,online,,False
5,NU-USD,NU,USD,1.1,870000,0.0001,0.000001,NU/USD,1,530000,False,False,0.03000000,False,False,False,False,online,,False
6,MDT-USD,MDT,USD,10,6800000,0.00001,1,MDT/USD,1,550000,False,False,0.03000000,False,False,False,False,online,,False
7,IDEX-USDT,IDEX,USDT,1,1100000,0.0001,0.1,IDEX/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
8,ERN-EUR,ERN,EUR,0.01,19000,0.01,0.001,ERN/EUR,1,100000,False,False,0.03000000,False,True,False,False,online,,False
9,USDC-GBP,USDC,GBP,0.98,810000,0.001,0.01,USDC/GBP,0.72,600000,False,True,0.01000000,False,False,False,False,online,,False
10,PLA-USD,PLA,USD,0.5,340000,0.0001,0.1,PLA/USD,1,350000,False,False,0.03000000,False,False,False,False,online,,False
11,CRO-USD,CRO,USD,1,3800000,0.0001,0.1,CRO/USD,1,1700000,False,False,0.03000000,False,False,False,False,online,,False
12,UPI-USD,UPI,USD,10,8200000,0.00001,1,UPI/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
13,CGLD-BTC,CGLD,BTC,0.16,110000,1E-8,0.01,CGLD/BTC,0.000016,12,False,False,0.03000000,False,False,False,False,online,,False
14,GODS-USD,GODS,USD,0.1,69000,0.01,0.01,GODS/USD,1,220000,False,False,0.03000000,False,False,False,False,online,,False
15,AIOZ-USD,AIOZ,USD,1,1700000,0.0001,0.1,AIOZ/USD,1,250000,False,False,0.03000000,False,False,False,False,online,,False
16,BTRST-BTC,BTRST,BTC,0.17,79000,1E-8,0.01,BTRST/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
17,POLS-USD,POLS,USD,0.1,93000,0.01,0.01,POLS/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
18,DAI-USD,DAI,USD,0.99,6400000,0.000001,0.00001,DAI/USD,1,6400000,False,True,0.01000000,False,False,False,False,online,,False
19,DIA-USDT,DIA,USDT,0.1,220000,0.01,0.01,DIA/USDT,1,100000,False,False,0.03000000,False,True,False,False,online,,False
20,LQTY-USDT,LQTY,USDT,0.1,28000,0.01,0.01,LQTY/USDT,1,100000,False,False,0.03000000,False,True,False,False,online,,False
21,WLUNA-GBP,WLUNA,GBP,0.02,2600,0.01,0.001,WLUNA/GBP,0.72,160000,False,False,0.03000000,False,False,False,False,online,,False
22,SYN-USD,SYN,USD,0.1,120000,0.001,0.01,SYN/USD,1,250000,False,False,0.03000000,False,True,False,False,online,,False
23,ENJ-USD,ENJ,USD,0.32,510000,0.001,0.01,ENJ/USD,1,1200000,False,False,0.03000000,False,False,False,False,online,,False
24,TRIBE-USD,TRIBE,USD,0.9,200000,0.0001,0.1,TRIBE/USD,1,210000,False,False,0.03000000,False,False,False,False,online,,False
25,ICP-USDT,ICP,USDT,0.021,19000,0.01,0.0001,ICP/USDT,1,530000,False,False,0.03000000,False,False,False,False,online,,False
26,PERP-EUR,PERP,EUR,0.059,23000,0.01,0.001,PERP/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
27,REN-USD,REN,USD,1,1300000,0.0001,0.000001,REN/USD,1,540000,False,False,0.03000000,False,False,False,False,online,,False
28,WLUNA-USDT,WLUNA,USDT,0.021,7700,0.01,0.001,WLUNA/USDT,1,620000,False,False,0.03000000,False,False,False,False,online,,False
29,FIDA-USDT,FIDA,USDT,0.1,36000,0.01,0.01,FIDA/USDT,1,100000,False,False,0.03000000,False,False,False,False,online,,False
30,DAI-USDC,DAI,USDC,0.99,1100000,0.000001,0.00001,DAI/USDC,1,1100000,False,True,0.01000000,False,False,False,False,online,,False
31,USDT-GBP,USDT,GBP,0.97,1200000,0.0001,0.01,USDT/GBP,0.72,830000,False,True,0.01000000,False,False,False,False,online,,False
32,KRL-USD,KRL,USD,0.3,190000,0.0001,0.1,KRL/USD,1,200000,False,False,0.03000000,False,False,False,False,online,,False
33,ANKR-BTC,ANKR,BTC,7,3000000,1E-8,1,ANKR/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
34,ETH-BTC,ETH,BTC,0.00022,3300,0.00001,0.00000001,ETH/BTC,0.00001,250,False,False,0.03000000,False,False,False,False,online,,False
35,BCH-BTC,BCH,BTC,0.0016,2300,0.000001,0.00000001,BCH/BTC,0.00001,21,False,False,0.03000000,False,False,False,False,online,,False
36,LCX-USDT,LCX,USDT,2.8,1600000,0.0001,0.1,LCX/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
37,RLC-BTC,RLC,BTC,0.22,79000,1E-7,0.01,RLC/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
38,WLUNA-USD,WLUNA,USD,0.021,29000,0.01,0.001,WLUNA/USD,1,2300000,False,False,0.03000000,False,False,False,False,online,,False
39,LTC-USD,LTC,USD,0.0043,28000,0.01,0.00000001,LTC/USD,1,3900000,False,False,0.03000000,False,False,False,False,online,,False
40,NMR-EUR,NMR,EUR,0.022,7100,0.01,0.001,NMR/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
41,LTC-EUR,LTC,EUR,0.0042,8100,0.01,0.00000001,LTC/EUR,0.84,1000000,False,False,0.03000000,False,False,False,False,online,,False
42,ENJ-USDT,ENJ,USDT,0.1,170000,0.001,0.01,ENJ/USDT,1,250000,False,False,0.03000000,False,False,False,False,online,,False
43,BADGER-EUR,BADGER,EUR,0.031,14000,0.01,0.001,BADGER/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
44,FIL-USD,FIL,USD,0.016,62000,0.01,0.001,FIL/USD,1,1800000,False,False,0.03000000,False,False,False,False,online,,False
45,ICP-BTC,ICP,BTC,0.021,17000,1E-7,0.0001,ICP/BTC,0.000016,12,False,False,0.03000000,False,False,False,False,online,,False
46,SUKU-USDT,SUKU,USDT,0.9,460000,0.0001,0.1,SUKU/USDT,1,210000,False,False,0.03000000,False,False,False,False,online,,False
47,ORCA-USD,ORCA,USD,0.1,29000,0.01,0.01,ORCA/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
48,ADA-BTC,ADA,BTC,0.5,820000,1E-8,0.01,ADA/BTC,0.000016,27,False,False,0.03000000,False,False,False,False,online,,False
49,RLY-GBP,RLY,GBP,1,660000,0.0001,1,RLY/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
50,POWR-EUR,POWR,EUR,1.3,70000,0.0001,0.1,POWR/EUR,0.84,43000,False,False,0.03000000,False,True,False,False,online,,False
51,FARM-USD,FARM,USD,0.006,3100,0.01,0.001,FARM/USD,1,420000,False,False,0.03000000,False,False,False,False,online,,False
52,NKN-GBP,NKN,GBP,1.7,720000,0.0001,0.1,NKN/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
53,1INCH-EUR,1INCH,EUR,0.22,88000,0.001,0.01,1INCH/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
54,DESO-USD,DESO,USD,0.01,2800,0.01,0.001,DESO/USD,1,100000,False,False,0.03000000,False,True,False,False,online,,False
55,AXS-EUR,AXS,EUR,0.006,5400,0.01,0.001,AXS/EUR,0.84,350000,False,False,0.03000000,False,False,False,False,online,,False
56,UNI-USD,UNI,USD,0.041,130000,0.01,0.000001,UNI/USD,1,2000000,False,False,0.03000000,False,False,False,False,online,,False
57,SHIB-USDT,SHIB,USDT,18000,62000000000,1E-7,1,SHIB/USDT,1,1800000,False,False,0.03000000,False,False,False,False,online,,False
58,CLV-USD,CLV,USD,0.78,550000,0.0001,0.01,CLV/USD,1,320000,False,False,0.03000000,False,False,False,False,online,,False
59,AGLD-USD,AGLD,USD,0.36,200000,0.001,0.01,AGLD/USD,1,260000,False,False,0.03000000,False,False,False,False,online,,False
60,AERGO-USD,AERGO,USD,1,1500000,0.0001,0.1,AERGO/USD,1,250000,False,False,0.03000000,False,False,False,False,online,,False
61,FORTH-EUR,FORTH,EUR,0.061,27000,0.01,0.001,FORTH/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
62,STORJ-BTC,STORJ,BTC,0.57,190000,1E-8,0.01,STORJ/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
63,MASK-GBP,MASK,GBP,0.07,23000,0.001,0.01,MASK/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
64,AVAX-EUR,AVAX,EUR,0.01,9700,0.01,0.001,AVAX/EUR,0.84,740000,False,False,0.03000000,False,False,False,False,online,,False
65,BCH-USD,BCH,USD,0.0016,6600,0.01,0.00000001,BCH/USD,1,2500000,False,False,0.03000000,False,False,False,False,online,,False
66,EOS-BTC,EOS,BTC,0.2,160000,1E-8,0.1,EOS/BTC,0.000016,11,False,False,0.03000000,False,False,False,False,online,,False
67,CHZ-USD,CHZ,USD,2,2600000,0.0001,0.1,CHZ/USD,1,650000,False,False,0.03000000,False,False,False,False,online,,False
68,BAT-BTC,BAT,BTC,0.92,320000,1E-8,0.01,BAT/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
69,ZEN-BTC,ZEN,BTC,0.01,1300,1E-7,0.001,ZEN/BTC,0.000016,2,False,False,0.03000000,False,False,False,False,online,,False
70,ENJ-BTC,ENJ,BTC,0.32,190000,1E-8,0.01,ENJ/BTC,0.000016,11,False,False,0.03000000,False,False,False,False,online,,False
71,ETC-GBP,ETC,GBP,0.018,7600,0.01,0.00000001,ETC/GBP,0.72,180000,False,False,0.03000000,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False
72,TRU-EUR,TRU,EUR,1.7,740000,0.0001,0.1,TRU/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
73,GLM-USD,GLM,USD,1,680000,0.0001,0.1,GLM/USD,1,250000,False,False,0.03000000,False,True,False,False,online,,False
74,RNDR-EUR,RNDR,EUR,0.1,110000,0.01,0.01,RNDR/EUR,1,100000,False,False,0.03000000,False,True,False,False,online,,False
75,SOL-EUR,SOL,EUR,0.004,11000,0.01,0.001,SOL/EUR,0.84,1300000,False,False,0.03000000,False,False,False,False,online,,False
76,UST-USDT,UST,USDT,0.99,880000,0.001,0.01,UST/USDT,1,880000,False,True,0.01000000,False,False,False,False,online,,False
77,QSP-USDT,QSP,USDT,10,11000000,0.00001,1,QSP/USDT,1,100000,False,False,0.03000000,False,False,False,False,online,,False
78,AMP-USD,AMP,USD,17,25000000,0.00001,1,AMP/USD,1,970000,False,False,0.03000000,False,False,False,False,online,,False
79,AVAX-USD,AVAX,USD,0.011,52000,0.01,0.001,AVAX/USD,1,4500000,False,False,0.03000000,False,False,False,False,online,,False
80,XLM-BTC,XLM,BTC,2,2900000,1E-8,1,XLM/BTC,0.000016,17,False,False,0.03000000,False,False,False,False,online,,False
81,SUSHI-ETH,SUSHI,ETH,0.09,34000,0.000001,0.01,SUSHI/ETH,0.00022,69,False,False,0.03000000,False,False,False,False,online,,False
82,GRT-USD,GRT,USD,0.96,2100000,0.0001,0.01,GRT/USD,1,1200000,False,False,0.03000000,False,False,False,False,online,,False
83,IOTX-EUR,IOTX,EUR,4,210000,0.00001,1,IOTX/EUR,0.84,43000,False,False,0.03000000,False,True,False,False,online,,False
84,XLM-USD,XLM,USD,2,9100000,0.000001,1,XLM/USD,1,2300000,False,False,0.03000000,False,False,False,False,online,,False
85,GALA-EUR,GALA,EUR,3,2400000,0.0001,1,GALA-EUR,0.84,610000,False,False,0.03000000,False,False,False,False,online,,False
86,NMR-BTC,NMR,BTC,0.023,7400,1E-7,0.001,NMR/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
87,CRO-USDT,CRO,USDT,2.3,870000,0.0001,0.1,CRO/USDT,1,390000,False,False,0.03000000,False,False,False,False,online,,False
88,ENS-EUR,ENS,EUR,0.019,8100,0.01,0.001,ENS/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
89,WCFG-USDT,WCFG,USDT,0.57,240000,0.01,0.01,WCFG/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
90,MCO2-USDT,MCO2,USDT,0.1,29000,0.01,0.01,MCO2/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
91,MANA-USDC,MANA,USDC,1,340000,0.000001,1,MANA/USDC,1,950000,False,False,0.03000000,False,False,False,False,online,,False
92,AVAX-USDT,AVAX,USDT,0.011,20000,0.01,0.001,AVAX/USDT,1,1700000,False,False,0.03000000,False,False,False,False,online,,False
93,LOOM-USD,LOOM,USD,0.7,2300000,0.0001,0.1,LOOM/USD,1,200000,False,False,0.03000000,False,False,False,False,online,,False
94,WCFG-EUR,WCFG,EUR,0.55,240000,0.0001,0.01,WCFG/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
95,ATOM-BTC,ATOM,BTC,0.1,27000,1E-7,0.1,ATOM/BTC,0.000016,26,False,False,0.03000000,False,False,False,False,online,,False
96,ORN-USDT,ORN,USDT,0.12,42000,0.001,0.01,ORN/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
97,PERP-USDT,PERP,USDT,0.06,23000,0.01,0.001,PERP/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
98,SUSHI-EUR,SUSHI,EUR,0.08,75000,0.001,0.01,SUSHI/EUR,0.84,420000,False,False,0.03000000,False,False,False,False,online,,False
99,ATOM-GBP,ATOM,GBP,0.03,6000,0.01,0.001,ATOM/GBP,0.72,180000,False,False,0.03000000,False,False,False,False,online,,False
100,ALGO-GBP,ALGO,GBP,1,540000,0.0001,1,ALGO/GBP,0.72,520000,False,False,0.03000000,False,False,False,False,online,,False
101,IDEX-USD,IDEX,USD,1,1200000,0.0001,0.1,IDEX/USD,1,230000,False,False,0.03000000,False,False,False,False,online,,False
102,SNX-BTC,SNX,BTC,0.1,55000,1E-7,0.01,SNX/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
103,ORN-BTC,ORN,BTC,0.12,42000,1E-7,0.01,ORN/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
104,DOT-USDT,DOT,USDT,0.021,29000,0.01,0.001,DOT/USDT,1,730000,False,False,0.03000000,False,False,False,False,online,,False
105,BAT-ETH,BAT,ETH,1,480000,1E-7,1,BAT/ETH,0.00022,150,False,False,0.03000000,False,False,False,False,online,,False
106,MANA-BTC,MANA,BTC,0.31,360000,1E-7,0.01,MANA/BTC,0.000016,25,False,False,0.03000000,False,False,False,False,online,,False
107,GRT-BTC,GRT,BTC,0.96,680000,1E-8,0.01,GRT/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
108,MANA-USD,MANA,USD,0.32,1100000,0.001,0.01,MANA/USD,1,2900000,False,False,0.03000000,False,False,False,False,online,,False
109,POWR-USD,POWR,USD,0.6,520000,0.0001,0.1,POWR/USD,1,310000,False,False,0.03000000,False,False,False,False,online,,False
110,YFI-USD,YFI,USD,0.000029,60,0.01,0.000001,YFI/USD,1,2000000,False,False,0.03000000,False,False,False,False,online,,False
111,FIDA-USD,FIDA,USD,0.1,36000,0.01,0.01,FIDA/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
112,CHZ-EUR,CHZ,EUR,2,770000,0.0001,0.1,CHZ/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
113,OMG-EUR,OMG,EUR,0.1,83000,0.01,0.1,OMG/EUR,0.84,430000,False,False,0.03000000,False,False,False,False,online,,False
114,SKL-GBP,SKL,GBP,2.7,1300000,0.0001,0.1,SKL/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
115,SHIB-GBP,SHIB,GBP,18000,15000000000,1E-7,1,SHIB/GBP,0.72,310000,False,False,0.03000000,False,False,False,False,online,,False
116,BAND-GBP,BAND,GBP,0.11,39000,0.001,0.01,BAND/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
117,XTZ-GBP,XTZ,GBP,0.16,130000,0.001,0.01,XTZ/GBP,0.72,380000,False,False,0.03000000,False,False,False,False,online,,False
118,ADA-USDT,ADA,USDT,0.1,240000,0.001,0.01,ADA/USDT,1,100000,False,False,0.03000000,False,False,False,False,online,,False
119,LPT-USD,LPT,USD,0.02,15000,0.01,0.001,LPT/USD,1,500000,False,False,0.03000000,False,False,False,False,online,,False
120,SHPING-USD,SHPING,USD,10,130000000,0.000001,1,SHPING/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
121,PAX-USDT,PAX,USDT,1,470000,0.0001,0.01,PAX/USDT,1,470000,False,True,0.01000000,False,False,False,False,online,,False
122,BADGER-USD,BADGER,USD,0.032,15000,0.01,0.001,BADGER/USD,1,200000,False,False,0.03000000,False,False,False,False,online,,False
123,ZRX-EUR,ZRX,EUR,0.79,640000,0.0001,0.00001,ZRX/EUR,0.84,400000,False,False,0.03000000,False,False,False,False,online,,False
124,REQ-EUR,REQ,EUR,4,650000,0.00001,1,REQ/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
125,LTC-BTC,LTC,BTC,0.0043,13000,0.000001,0.00000001,LTC/BTC,0.000016,42,False,False,0.03000000,False,False,False,False,online,,False
126,DOGE-USDT,DOGE,USDT,3.8,3200000,0.0001,0.1,DOGE/USDT,1,540000,False,False,0.03000000,False,False,False,False,online,,False
127,REP-USD,REP,USD,0.04,13000,0.01,0.000001,REP/USD,1,200000,False,False,0.03000000,False,False,False,False,online,,False
128,ETC-BTC,ETC,BTC,0.018,13000,0.000001,0.00000001,ETC/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False
129,LCX-EUR,LCX,EUR,2.7,1600000,0.0001,0.1,LCX/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
130,DASH-USD,DASH,USD,0.004,8600,0.01,0.001,DASH/USD,1,1200000,False,False,0.03000000,False,False,False,False,online,,False
131,DOGE-BTC,DOGE,BTC,3.8,5700000,1E-8,0.1,DOGE/BTC,0.000016,24,False,False,0.03000000,False,False,False,False,online,,False
132,ZEC-BTC,ZEC,BTC,0.0056,3600,0.000001,0.0001,ZEC/BTC,0.000016,12,False,False,0.03000000,False,False,False,False,online,,False
133,REN-BTC,REN,BTC,1,590000,1E-8,1,REN/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
134,LINK-USD,LINK,USD,0.03,280000,0.01,0.01,LINK/USD,1,6500000,False,False,0.03000000,False,False,False,False,online,,False
135,AIOZ-USDT,AIOZ,USDT,1,1700000,0.0001,0.1,AIOZ/USDT,1,250000,False,False,0.03000000,False,True,False,False,online,,False
136,FIDA-EUR,FIDA,EUR,0.1,36000,0.01,0.01,FIDA/EUR,1,100000,False,False,0.03000000,False,False,False,False,online,,False
137,MATIC-EUR,MATIC,EUR,0.5,680000,0.0001,0.1,MATIC/EUR,0.84,1300000,False,False,0.03000000,False,False,False,False,online,,False
138,GFI-USD,GFI,USD,0.1,72000,0.01,0.01,GFI/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
139,BNT-EUR,BNT,EUR,0.22,65000,0.001,0.000001,BNT/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
140,TRAC-USD,TRAC,USD,0.5,210000,0.0001,0.1,TRAC/USD,1,200000,False,False,0.03000000,False,False,False,False,online,,False
141,LTC-GBP,LTC,GBP,0.0042,5800,0.01,0.00000001,LTC/GBP,0.72,600000,False,False,0.03000000,False,False,False,False,online,,False
142,AAVE-GBP,AAVE,GBP,0.003,1500,0.01,0.001,AAVE/GBP,0.72,240000,False,False,0.03000000,False,False,False,False,online,,False
143,CTX-EUR,CTX,EUR,0.01,8900,0.01,0.001,CTX/EUR,1,100000,False,False,0.03000000,False,True,False,False,online,,False
144,AAVE-BTC,AAVE,BTC,0.003,2500,0.000001,0.001,AAVE/BTC,0.000016,13,False,False,0.03000000,False,False,False,False,online,,False
145,CLV-GBP,CLV,GBP,0.77,340000,0.0001,0.01,CLV/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
146,CVC-USDC,CVC,USDC,2,820000,0.000001,1,CVC/USDC,1,260000,False,False,0.03000000,False,False,False,False,online,,False
147,1INCH-USD,1INCH,USD,0.23,320000,0.001,0.01,1INCH/USD,1,710000,False,False,0.03000000,False,False,False,False,online,,False
148,POLY-USDT,POLY,USDT,1,430000,0.0001,1,POLY/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
149,ATOM-USDT,ATOM,USDT,0.01,8700,0.01,0.001,ATOM/USDT,1,100000,False,False,0.03000000,False,False,False,False,online,,False
150,SHPING-EUR,SHPING,EUR,10,130000000,0.000001,1,SHPING/EUR,1,100000,False,False,0.03000000,False,False,False,False,online,,False
151,ADA-GBP,ADA,GBP,0.49,640000,0.0001,0.01,ADA/GBP,0.72,650000,False,False,0.03000000,False,False,False,False,online,,False
